100	21	
1000	10172	
8	5	
47	81	
96	35	
27	1	
79	10	
81	74	
37	10	
76	20	
94	2	
74	63	
93	9	
95	81	
21	83	
25	64	
71	80	
46	11	
51	74	
5	55	
36	88	
88	6	
7	22	
73	41	55
3	65	149
0	96	163
55	91	190
39	34	75
36	86	103
77	65	164
76	62	35
69	80	78
85	2	158
14	48	137
61	95	85
62	18	199
68	48	129
54	97	123
20	84	198
43	23	86
38	27	11
65	11	54
58	96	51
37	46	95
29	5	148
99	63	58
34	26	170
42	30	117
49	1	20
17	54	96
10	51	37
69	20	64
69	17	64
98	80	102
9	43	158
0	63	84
91	30	136
72	50	97
13	59	109
82	12	199
70	26	200
61	2	6
52	25	67
67	28	103
15	36	146
59	29	69
82	53	1
37	27	141
79	84	69
45	86	147
8	55	187
42	99	98
63	55	48
66	90	49
70	87	126
33	60	52
87	83	200
36	46	54
4	82	130
74	92	109
64	0	159
77	30	37
36	55	82
19	75	168
42	56	14
78	71	164
79	52	7
31	66	64
47	6	50
36	76	10
85	78	195
13	3	111
26	94	163
77	28	100
55	96	185
23	44	63
65	64	170
57	55	133
37	39	82
77	24	80
56	45	129
60	63	175
45	79	124
26	22	30
40	33	5
80	38	26
67	41	84
7	60	94
97	15	95
27	11	15
9	20	179
16	59	174
38	68	98
5	60	121
66	88	45
94	68	118
31	0	37
2	65	81
53	18	141
45	31	126
15	74	64
69	9	19
36	67	156
