50	11	
2000	10000	
66	90	
24	24	
70	33	
60	31	
2	45	
36	46	
17	67	
71	74	
92	58	
64	11	
77	30	
73	41	55
3	65	149
0	96	163
55	91	190
39	34	75
36	86	103
77	65	164
76	62	35
69	80	78
85	2	158
14	48	137
61	95	85
62	18	199
68	48	129
54	97	123
20	84	198
43	23	86
38	27	11
65	11	54
58	96	51
37	46	95
29	5	148
99	63	58
34	26	170
42	30	117
49	1	20
17	54	96
10	51	37
69	20	64
69	17	64
98	80	102
9	43	158
0	63	84
91	30	136
72	50	97
13	59	109
82	12	199
70	26	200
61	2	6
52	25	67
67	28	103
15	36	146
59	29	69
82	53	1
37	27	141
79	84	69
45	86	147
8	55	187
42	99	98
63	55	48
