200	11	
2000	19215	
73	41	
27	45	
26	50	
75	54	
78	42	
86	34	
73	45	
49	22	
60	23	
78	12	
90	9	
40	33	118
23	44	63
39	41	111
23	40	154
23	48	1
21	48	21
23	47	78
20	50	89
35	36	77
22	45	30
24	45	87
20	46	115
24	44	16
23	37	132
25	41	42
31	41	96
32	46	175
40	45	2
24	40	95
38	39	144
30	53	152
26	40	146
30	41	91
31	43	100
24	36	151
36	35	92
36	47	112
29	47	96
25	52	24
35	35	65
33	33	158
28	51	147
34	47	143
21	36	30
34	49	136
33	47	110
22	45	39
26	43	116
22	46	84
27	36	18
81	47	141
90	59	69
83	59	147
76	53	187
82	62	98
87	53	48
87	60	49
88	59	126
81	54	52
92	58	200
81	51	54
75	58	130
89	60	109
87	42	159
89	48	37
81	53	82
78	57	168
82	53	14
90	56	164
90	52	7
80	55	64
83	43	50
81	57	10
91	58	195
77	42	111
79	61	163
89	48	100
85	61	185
79	51	63
87	55	170
85	53	133
81	50	82
89	47	80
85	51	129
86	55	175
83	58	124
79	46	30
82	49	5
90	50	26
88	50	84
73	41	46
74	35	85
82	43	119
84	37	47
82	41	25
88	31	113
84	32	23
70	29	91
83	34	77
74	37	69
77	38	195
85	38	29
72	46	84
84	36	188
71	37	127
90	35	181
76	28	135
82	28	60
85	35	160
80	46	50
89	28	110
88	37	51
72	46	33
80	41	70
75	40	57
73	34	63
73	37	10
82	35	47
78	45	54
84	30	184
75	32	68
84	46	49
81	41	31
89	46	42
75	43	85
80	42	64
72	37	94
88	45	27
80	29	77
85	42	26
56	23	182
50	23	169
46	15	149
59	28	75
53	25	16
49	18	2
44	30	25
57	29	26
44	28	77
48	23	180
55	30	139
43	15	78
55	24	125
48	19	139
61	16	177
45	31	166
57	29	30
52	13	121
52	26	51
62	21	26
57	23	54
61	16	156
60	23	14
57	14	93
44	23	200
53	14	162
53	25	139
50	28	1
48	20	134
49	30	20
62	26	132
48	27	145
60	28	15
47	18	150
47	20	48
51	18	120
47	22	157
48	32	103
60	14	172
60	31	62
77	19	37
75	18	47
84	14	86
74	14	47
88	14	155
85	12	199
91	5	113
84	22	83
81	21	90
86	12	173
77	5	54
89	6	192
88	4	198
84	15	133
72	7	50
80	10	173
78	20	85
86	9	170
78	19	138
84	9	52
82	18	64
77	12	13
79	4	196
72	12	100
83	20	196
79	18	49
90	16	87
85	14	71
86	23	48
91	8	62
87	17	73
90	19	85
73	17	148
84	18	186
83	13	188
84	22	93
89	17	28
87	15	135
83	22	182
74	12	84
