200	21	
1000	19332	
73	41	
27	45	
26	50	
35	41	
28	38	
87	94	
75	102	
79	93	
76	100	
92	69	
88	54	
83	61	
98	59	
62	81	
62	78	
69	73	
55	72	
16	113	
20	103	
4	99	
9	115	
40	33	118
23	44	63
39	41	111
23	40	154
23	48	1
21	48	21
23	47	78
20	50	89
35	36	77
22	45	30
24	45	87
20	46	115
24	44	16
23	37	132
25	41	42
31	41	96
32	46	175
40	45	2
24	40	95
38	39	144
30	53	152
26	40	146
30	41	91
31	43	100
24	36	151
36	35	92
36	47	112
29	47	96
25	52	24
35	35	65
33	33	158
28	51	147
34	47	143
21	36	30
34	49	136
33	47	110
22	45	39
26	43	116
22	46	84
27	36	18
73	97	151
78	90	9
88	97	79
92	101	163
84	101	110
92	102	103
87	95	167
77	106	18
82	96	21
75	89	104
87	103	69
87	101	30
75	104	165
87	96	190
91	92	96
77	97	171
80	104	30
78	104	67
73	95	99
91	98	90
87	95	164
86	105	53
82	91	24
81	94	115
87	104	164
88	99	198
92	93	58
87	101	26
86	100	57
73	96	128
87	104	54
87	100	69
89	100	135
82	97	190
91	94	134
83	96	74
90	104	178
74	102	190
86	90	105
92	108	55
87	52	137
100	64	48
88	70	42
94	57	6
95	52	96
93	62	112
84	60	44
98	54	166
87	65	72
98	58	73
81	53	45
89	55	173
100	58	188
82	66	7
83	67	110
82	56	21
96	55	85
93	60	166
93	70	64
83	62	184
85	68	131
97	57	104
97	60	138
99	52	153
82	62	191
92	70	188
82	52	10
94	57	50
86	69	151
83	71	144
87	52	189
97	56	25
90	67	55
89	71	46
85	60	156
91	60	53
98	68	72
93	54	59
98	60	149
93	71	53
56	68	165
59	63	4
53	75	139
60	76	48
60	75	54
59	72	40
66	76	115
59	63	47
63	81	48
62	75	41
56	81	57
54	71	13
64	72	169
60	74	69
59	81	13
68	74	177
72	78	77
53	70	185
58	78	155
63	82	171
69	73	35
70	76	51
67	70	74
59	76	139
72	69	162
65	81	64
68	65	130
63	81	50
62	69	85
69	70	71
55	69	5
54	66	159
54	74	32
63	81	23
64	82	132
65	83	165
70	73	142
62	69	13
68	67	156
67	73	73
3	98	92
19	108	164
18	99	63
10	111	38
3	97	32
3	103	172
1	110	17
12	99	162
5	98	169
8	103	4
18	99	30
7	107	125
17	100	84
7	106	26
15	96	55
10	106	154
1	114	55
10	97	97
18	112	191
16	111	159
13	111	180
12	101	14
20	97	46
5	113	131
14	99	43
17	99	159
15	100	110
16	100	137
11	111	115
20	113	147
15	114	99
12	113	81
19	107	101
9	96	189
10	114	195
10	96	30
2	102	93
2	104	155
5	100	153
16	101	2
